ticker,name,who,target,entry,signal,horizon_weeks,n,rho,t_nw,top_minus_bottom_pct,top_n,bottom_n,rho_2006_2015,rho_2016_2026,consistent
SPY,S&P 500,Hedge funds,price,monday_after,chg4,13,1041,-0.016,-0.328,0.591,160,163,-0.112,0.084,
SPY,S&P 500,Hedge funds,price,monday_after,crowd,13,941,0.010,0.125,0.885,180,205,0.081,-0.044,
SPY,S&P 500,Hedge funds,price,monday_after,turn,13,941,0.004,0.076,-2.298,50,68,-0.111,0.090,
SPY,S&P 500,Hedge funds,price,friday_release,chg1,1,1056,-0.009,-0.263,0.178,171,176,-0.010,-0.005,
SPY,S&P 500,Hedge funds,price,friday_release,chg4,1,1053,-0.008,-0.274,0.028,166,163,-0.051,0.036,
SPY,S&P 500,Hedge funds,price,friday_release,crowd,1,953,0.003,0.091,-0.043,180,205,-0.034,0.025,
SPY,S&P 500,Hedge funds,price,friday_release,turn,1,953,-0.029,-0.834,-0.529,50,68,-0.037,-0.021,
SPY,S&P 500,Hedge funds,price,friday_release,chg1,4,1053,-0.004,-0.131,0.353,171,175,-0.031,0.025,
SPY,S&P 500,Hedge funds,price,friday_release,chg4,4,1050,0.007,0.172,0.109,166,163,-0.112,0.119,
SPY,S&P 500,Hedge funds,price,friday_release,crowd,4,950,0.019,0.377,0.479,180,205,0.001,0.025,
SPY,S&P 500,Hedge funds,price,friday_release,turn,4,950,-0.027,-0.505,-1.770,50,68,-0.103,0.029,
SPY,S&P 500,Hedge funds,price,friday_release,chg1,8,1049,-0.007,-0.243,0.907,170,175,-0.045,0.034,
SPY,S&P 500,Hedge funds,price,friday_release,chg4,8,1046,0.003,0.066,0.874,164,163,-0.115,0.116,
SPY,S&P 500,Hedge funds,price,friday_release,crowd,8,946,0.021,0.326,0.819,180,205,0.058,-0.012,
SPY,S&P 500,Hedge funds,price,friday_release,turn,8,946,0.021,0.413,0.140,50,68,-0.086,0.102,
SPY,S&P 500,Hedge funds,price,friday_release,chg1,13,1044,-0.003,-0.103,0.519,168,175,-0.039,0.039,
SPY,S&P 500,Hedge funds,price,friday_release,chg4,13,1041,-0.001,-0.012,0.742,160,163,-0.101,0.105,
SPY,S&P 500,Hedge funds,price,friday_release,crowd,13,941,0.013,0.160,0.899,180,205,0.087,-0.042,
SPY,S&P 500,Hedge funds,price,friday_release,turn,13,941,0.016,0.278,-1.738,50,68,-0.104,0.106,
QQQ,Nasdaq-100,Institutions,price,monday_after,chg1,1,1056,-0.029,-0.955,-0.212,201,212,-0.075,0.018,
QQQ,Nasdaq-100,Institutions,price,monday_after,chg4,1,1053,0.011,0.361,-0.111,203,192,0.011,0.011,
QQQ,Nasdaq-100,Institutions,price,monday_after,crowd,1,953,-0.018,-0.566,0.095,193,165,-0.027,0.014,
QQQ,Nasdaq-100,Institutions,price,monday_after,turn,1,953,0.053,1.773,0.553,70,87,0.067,0.032,
QQQ,Nasdaq-100,Institutions,price,monday_after,chg1,4,1053,0.014,0.430,0.059,201,212,-0.034,0.057,
QQQ,Nasdaq-100,Institutions,price,monday_after,chg4,4,1050,0.023,0.516,-0.021,203,192,-0.027,0.070,
QQQ,Nasdaq-100,Institutions,price,monday_after,crowd,4,950,-0.040,-0.796,-0.266,193,165,-0.067,0.005,
QQQ,Nasdaq-100,Institutions,price,monday_after,turn,4,950,0.086,2.432,1.530,70,87,0.027,0.113,
QQQ,Nasdaq-100,Institutions,price,monday_after,chg1,8,1049,-0.013,-0.412,0.082,200,211,-0.079,0.052,
QQQ,Nasdaq-100,Institutions,price,monday_after,chg4,8,1046,-0.024,-0.482,-0.810,203,191,-0.106,0.052,
QQQ,Nasdaq-100,Institutions,price,monday_after,crowd,8,946,-0.039,-0.615,-0.266,193,165,-0.057,0.007,
QQQ,Nasdaq-100,Institutions,price,monday_after,turn,8,946,0.054,1.160,1.137,70,87,-0.013,0.084,
QQQ,Nasdaq-100,Institutions,price,monday_after,chg1,13,1044,-0.012,-0.378,0.054,199,210,-0.044,0.017,
QQQ,Nasdaq-100,Institutions,price,monday_after,chg4,13,1041,-0.025,-0.501,0.262,203,190,-0.036,-0.015,
QQQ,Nasdaq-100,Institutions,price,monday_after,crowd,13,941,-0.046,-0.661,0.158,193,165,-0.048,-0.019,
QQQ,Nasdaq-100,Institutions,price,monday_after,turn,13,941,0.028,0.580,1.069,70,87,-0.018,0.041,
QQQ,Nasdaq-100,Institutions,price,friday_release,chg1,1,1056,-0.006,-0.197,-0.119,201,212,-0.055,0.039,
QQQ,Nasdaq-100,Institutions,price,friday_release,chg4,1,1053,0.000,0.003,-0.263,203,192,-0.015,0.015,
QQQ,Nasdaq-100,Institutions,price,friday_release,crowd,1,953,-0.026,-0.856,0.045,193,165,-0.046,0.004,
QQQ,Nasdaq-100,Institutions,price,friday_release,turn,1,953,0.041,1.378,0.594,70,87,0.042,0.033,
QQQ,Nasdaq-100,Institutions,price,friday_release,chg1,4,1053,-0.001,-0.036,0.106,201,212,-0.057,0.050,
QQQ,Nasdaq-100,Institutions,price,friday_release,chg4,4,1050,0.000,0.010,-0.407,203,192,-0.067,0.062,
QQQ,Nasdaq-100,Institutions,price,friday_release,crowd,4,950,-0.040,-0.791,-0.345,193,165,-0.073,0.009,
