ticker,name,who,target,entry,signal,horizon_weeks,n,rho,t_nw,top_minus_bottom_pct,top_n,bottom_n,rho_2006_2015,rho_2016_2026,consistent
USO,Crude oil,Hedge funds,price,monday_after,crowd,1,953,0.010,0.324,0.636,84,256,0.070,0.010,
USO,Crude oil,Hedge funds,price,monday_after,turn,1,953,0.023,0.745,0.255,65,76,0.002,0.002,
USO,Crude oil,Hedge funds,price,monday_after,chg1,4,1053,0.004,0.105,1.064,192,198,-0.000,0.014,
USO,Crude oil,Hedge funds,price,monday_after,chg4,4,1050,0.051,1.154,2.731,185,205,0.033,0.073,
USO,Crude oil,Hedge funds,price,monday_after,crowd,4,950,-0.012,-0.228,2.037,84,256,0.131,-0.007,
USO,Crude oil,Hedge funds,price,monday_after,turn,4,950,0.080,2.041,3.464,65,76,-0.012,0.076,
USO,Crude oil,Hedge funds,price,monday_after,chg1,8,1049,0.031,0.958,3.679,191,198,0.030,0.038,
USO,Crude oil,Hedge funds,price,monday_after,chg4,8,1046,0.042,0.830,5.020,185,205,0.062,0.034,
USO,Crude oil,Hedge funds,price,monday_after,crowd,8,946,-0.058,-0.837,1.663,84,256,0.124,-0.071,
USO,Crude oil,Hedge funds,price,monday_after,turn,8,946,0.104,1.937,7.611,65,76,-0.004,0.105,
USO,Crude oil,Hedge funds,price,monday_after,chg1,13,1044,0.009,0.267,4.441,191,198,0.022,0.002,
USO,Crude oil,Hedge funds,price,monday_after,chg4,13,1041,0.032,0.637,4.218,185,205,0.047,0.028,
USO,Crude oil,Hedge funds,price,monday_after,crowd,13,941,-0.074,-0.888,0.384,84,256,0.087,-0.083,
USO,Crude oil,Hedge funds,price,monday_after,turn,13,941,0.114,1.793,12.444,65,76,-0.004,0.118,
USO,Crude oil,Hedge funds,price,friday_release,chg1,1,1056,-0.020,-0.641,-0.242,192,198,-0.030,-0.010,
USO,Crude oil,Hedge funds,price,friday_release,chg4,1,1053,0.004,0.123,0.077,185,205,0.002,0.003,
USO,Crude oil,Hedge funds,price,friday_release,crowd,1,953,-0.006,-0.204,0.561,84,256,0.067,-0.018,
USO,Crude oil,Hedge funds,price,friday_release,turn,1,953,0.004,0.132,-0.135,65,76,-0.009,-0.028,
USO,Crude oil,Hedge funds,price,friday_release,chg1,4,1053,0.008,0.221,0.896,192,198,0.012,0.008,
USO,Crude oil,Hedge funds,price,friday_release,chg4,4,1050,0.045,0.982,2.305,185,205,0.035,0.055,
USO,Crude oil,Hedge funds,price,friday_release,crowd,4,950,-0.002,-0.040,1.748,84,256,0.134,-0.005,
USO,Crude oil,Hedge funds,price,friday_release,turn,4,950,0.066,1.733,3.185,65,76,-0.006,0.051,
USO,Crude oil,Hedge funds,price,friday_release,chg1,8,1049,0.036,1.122,3.617,191,198,0.042,0.037,
USO,Crude oil,Hedge funds,price,friday_release,chg4,8,1046,0.038,0.766,4.912,185,205,0.065,0.027,
USO,Crude oil,Hedge funds,price,friday_release,crowd,8,946,-0.058,-0.839,1.625,84,256,0.137,-0.074,
USO,Crude oil,Hedge funds,price,friday_release,turn,8,946,0.094,1.711,7.033,65,76,-0.006,0.084,
USO,Crude oil,Hedge funds,price,friday_release,chg1,13,1044,0.004,0.129,3.857,191,198,0.016,-0.001,
USO,Crude oil,Hedge funds,price,friday_release,chg4,13,1041,0.022,0.436,4.082,185,205,0.043,0.011,
USO,Crude oil,Hedge funds,price,friday_release,crowd,13,941,-0.076,-0.904,0.174,84,256,0.087,-0.086,
USO,Crude oil,Hedge funds,price,friday_release,turn,13,941,0.103,1.553,11.804,65,76,-0.008,0.099,
