period,period_type,source,item,value_jpy_m,value_jpy_m_year_ago,yoy_pct,yoy_pct_published
2026-07,MONTH,press_release,E:AREA IRELAND,23549,,,49.20
2026-07,MONTH,press_release,E:AREA ITALY,72071,,,27.10
2026-07,MONTH,press_release,E:AREA KUWAIT,21449,,,-24.60
2026-07,MONTH,press_release,E:AREA MALYSIA,244460,,,29
2026-07,MONTH,press_release,E:AREA MEXICO,203383,,,36.10
2026-07,MONTH,press_release,E:AREA MIDDLE EAST,350810,,,4
2026-07,MONTH,press_release,E:AREA MIDDLE SOUTH AMERICA,513532,,,23.50
2026-07,MONTH,press_release,E:AREA NETHLDS,167749,,,3.10
2026-07,MONTH,press_release,E:AREA NEWZELD,34233,,,19.40
2026-07,MONTH,press_release,E:AREA NORTH AMERICA,2276447,,,22.10
2026-07,MONTH,press_release,E:AREA OCEANIA,353180,,,43.80
2026-07,MONTH,press_release,E:AREA OMAN,24932,,,48.90
2026-07,MONTH,press_release,E:AREA PHILPIN,177181,,,40.70
2026-07,MONTH,press_release,E:AREA QATAR,17715,,,-5.80
2026-07,MONTH,press_release,E:AREA R KOREA,744335,,,31.20
2026-07,MONTH,press_release,E:AREA RUSSIA,45761,,,32.10
2026-07,MONTH,press_release,E:AREA S AFRCA,39731,,,21.40
2026-07,MONTH,press_release,E:AREA SNGAPOR,390693,,,48.80
2026-07,MONTH,press_release,E:AREA SPAIN,53700,,,30.30
2026-07,MONTH,press_release,E:AREA SU ARAB,83806,,,-4.70
2026-07,MONTH,press_release,E:AREA SWEDEN,14563,,,-29.80
2026-07,MONTH,press_release,E:AREA SWITZLD,126268,,,59.60
2026-07,MONTH,press_release,E:AREA TAIWAN,908834,,,43.40
2026-07,MONTH,press_release,E:AREA THAILND,420794,,,11.40
2026-07,MONTH,press_release,E:AREA U ARB E,151486,,,8.50
2026-07,MONTH,press_release,E:AREA U KING,217700,,,16.10
2026-07,MONTH,press_release,E:AREA USA,2090619,,,22
2026-07,MONTH,press_release,E:AREA VIETNAM,298118,,,26.30
2026-07,MONTH,press_release,E:AREA WESTERN EUROPE,1288898,,,19.60
2026-07,MONTH,press_release,E:AUDIO & VISUAL APPARATUS,63771,,,-12.30
2026-07,MONTH,press_release,E:BALL OR ROLLER BEARINGS,51066,,,12.50
2026-07,MONTH,press_release,E:BATTERIES AND ACCUMULATORS,88165,,,23.20
2026-07,MONTH,press_release,E:COMPUTERS AND UNITS,38773,,,29.90
2026-07,MONTH,press_release,E:CONSTRUCTION MACHINES,161936,,,0.20
2026-07,MONTH,press_release,E:ELECTRICAL APPARATUS,235077,,,14.40
2026-07,MONTH,press_release,E:ELECTRICAL MEASURING,228432,,,26.80
2026-07,MONTH,press_release,E:ELECTRICAL POWER MACHINERY,177709,,,28.80
2026-07,MONTH,press_release,E:Grand Total,11509374,,,23.20
2026-07,MONTH,press_release,E:HEATING OR COOLING MACHINE,51204,,,10.40
2026-07,MONTH,press_release,E:IRON AND STEEL PRODUCTS,351331,,,7.10
