Exp or Imp,Year,HS,Unit1,Unit2,Quantity1-Year,Quantity2-Year,Value-Year,Quantity1-Jan,Quantity2-Jan,Value-Jan,Quantity1-Feb,Quantity2-Feb,Value-Feb,Quantity1-Mar,Quantity2-Mar,Value-Mar,Quantity1-Apr,Quantity2-Apr,Value-Apr,Quantity1-May,Quantity2-May,Value-May,Quantity1-Jun,Quantity2-Jun,Value-Jun,Quantity1-Jul,Quantity2-Jul,Value-Jul,Quantity1-Aug,Quantity2-Aug,Value-Aug,Quantity1-Sep,Quantity2-Sep,Value-Sep,Quantity1-Oct,Quantity2-Oct,Value-Oct,Quantity1-Nov,Quantity2-Nov,Value-Nov,Quantity1-Dec,Quantity2-Dec,Value-Dec
1,2026,'551614000',SM,KG,18488,2052,16988,3200,249,3982,4323,635,3172,878,129,1075,3438,314,2725,160,26,220,1800,216,1682,4689,483,4132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2026,'551621000',SM,KG,2735,525,2840,690,128,697,181,17,283,688,187,688,481,47,539,695,146,633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2026,'551622000',SM,KG,88786,15406,87413,7276,903,6876,25367,4541,25717,11069,1674,10266,12005,2061,9546,10100,1552,10208,9544,2097,10895,13425,2578,13905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2026,'551623000',SM,KG,19798,4116,22715,1203,373,1855,3205,310,3040,2009,476,2092,1187,241,1237,7006,1875,8732,2373,329,2562,2815,512,3197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2026,'551624000',SM,KG,2589,391,2080,258,21,466,1403,221,967,0,0,0,580,92,400,0,0,0,348,57,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2026,'551631000',SM,KG,71,17,244,0,0,0,71,17,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2026,'551632000',SM,KG,17466,2741,7063,0,0,0,0,0,0,1800,177,482,0,0,0,1411,239,503,4531,566,1293,9724,1759,4785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2026,'551633000',SM,KG,422,58,565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,422,58,565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2026,'551641000',SM,KG,4210,489,2771,2865,240,1987,1165,232,555,180,17,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2026,'551642000',SM,KG,41327,5580,37147,4061,399,2127,15105,2083,11391,3742,374,4030,8712,1168,4565,1107,91,719,1721,306,2176,6879,1159,12139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
