Exp or Imp,Year,HS,Unit1,Unit2,Quantity1-Year,Quantity2-Year,Value-Year,Quantity1-Jan,Quantity2-Jan,Value-Jan,Quantity1-Feb,Quantity2-Feb,Value-Feb,Quantity1-Mar,Quantity2-Mar,Value-Mar,Quantity1-Apr,Quantity2-Apr,Value-Apr,Quantity1-May,Quantity2-May,Value-May,Quantity1-Jun,Quantity2-Jun,Value-Jun,Quantity1-Jul,Quantity2-Jul,Value-Jul,Quantity1-Aug,Quantity2-Aug,Value-Aug,Quantity1-Sep,Quantity2-Sep,Value-Sep,Quantity1-Oct,Quantity2-Oct,Value-Oct,Quantity1-Nov,Quantity2-Nov,Value-Nov,Quantity1-Dec,Quantity2-Dec,Value-Dec
2,2026,'581091000',  ,KG,0,29298,158471,0,3507,20607,0,3083,14121,0,5736,24663,0,5085,25054,0,5933,20862,0,2735,28699,0,3219,24465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'581092000',  ,KG,0,259002,2016934,0,50362,318446,0,32440,291557,0,25656,216925,0,35381,281865,0,31789,260302,0,35271,312461,0,48103,335378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'581099000',  ,KG,0,7853,239672,0,1026,36461,0,1045,26372,0,1448,45831,0,1072,26592,0,1602,38824,0,980,32766,0,680,32826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'581100010',SM,KG,154839,23302,22784,11874,1787,1899,19542,3010,2997,27897,4040,4104,24870,3720,3395,30265,4603,4465,16248,2445,2375,24143,3697,3549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'581100023',SM,KG,95774,33185,71945,32823,11467,23079,4016,997,2698,4781,2060,4691,21771,6830,15719,5122,2418,4138,11147,3325,6206,16114,6088,15414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'581100029',SM,KG,1444850,421280,435910,217811,61410,54387,327769,93089,89482,218769,59553,63256,125313,41141,44359,154344,44392,46616,193531,58837,69994,207313,62858,67816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'590110000',  ,KG,0,20814,60508,0,0,211,0,6356,17164,0,1416,6755,0,6458,17550,0,129,1099,0,6424,17215,0,31,514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'590190000',  ,KG,0,266521,218033,0,64403,44693,0,40878,29724,0,41492,33255,0,13329,12485,0,46381,39842,0,34499,31638,0,25539,26396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'590210010',  ,KG,0,4615368,3655033,0,637384,506019,0,647252,434801,0,742974,548585,0,517031,391788,0,655817,479538,0,752287,700768,0,662623,593534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'590210022',  ,KG,0,32,303,0,32,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'590220010',  ,KG,0,20362877,7643113,0,3297993,1184203,0,2316834,796824,0,2539296,867566,0,2585416,887638,0,2943411,1112390,0,3436885,1435538,0,3243042,1358954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'590220090',  ,KG,0,91156,45762,0,7098,5034,0,467,265,0,16416,7056,0,0,0,0,23219,11905,0,18306,7837,0,25650,13665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'590290000',  ,KG,0,492296,709224,0,60670,83117,0,53221,68430,0,67986,105891,0,70982,94412,0,94449,143612,0,92247,142295,0,52741,71467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'590310000',  ,KG,0,1365415,1086114,0,177248,151529,0,173621,124710,0,212809,183917,0,179682,130046,0,156081,127421,0,201203,163930,0,264771,204561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'590320000',  ,KG,0,861693,2369492,0,116221,317078,0,113669,288580,0,99412,290393,0,131153,374164,0,142781,344703,0,154304,456135,0,104153,298439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'590390000',  ,KG,0,2802081,4767579,0,357076,724389,0,324171,541893,0,283843,448586,0,455527,677445,0,429085,752613,0,410286,721375,0,542093,901278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2026,'590410000',SM,KG,131909,378690,309536,30418,94384,70310,30520,90733,77208,4970,14838,11931,20400,53189,44618,21942,65029,51434,12459,35320,30344,11200,25197,23691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
