report_month,market,company_id,company_name,industry,rev_month_twd_k,rev_prev_month_twd_k,rev_year_ago_month_twd_k,mom_pct,yoy_pct,rev_cum_twd_k,rev_cum_prev_year_twd_k,cum_yoy_pct,note
2026-07,sii,3416,融程電,電腦及週邊設備業,472718,414884,385688,13.94,22.56,2595949,2013630,28.92,-
2026-07,sii,3419,譁裕,通信網路業,180060,139663,160888,28.92,11.92,1078475,1045421,3.16,-
2026-07,sii,3432,台端,電子零組件業,23555,31704,18847,-25.70,24.98,169301,70554,139.96,主係因增加新產品出貨所致
2026-07,sii,3437,榮創,光電業,109941,131004,113275,-16.08,-2.94,835199,975795,-14.41,-
2026-07,sii,3443,創意,半導體業,5769170,4928512,2232812,17.06,158.38,31113539,15361033,102.55,主要為晶圓產品收入增加
2026-07,sii,3447,展達,通信網路業,199928,258619,308621,-22.69,-35.22,1878179,1781139,5.45,-
2026-07,sii,3450,聯鈞,半導體業,1218533,1138635,615415,7.02,98.00,6282055,5222318,20.29,因客戶需求增加，致使營收增加。
2026-07,sii,3481,群創,光電業,18890249,21703413,19264800,-12.96,-1.94,149234444,131428478,13.55,-
2026-07,sii,3494,誠研,電腦及週邊設備業,97141,86283,92992,12.58,4.46,597055,555729,7.44,-
2026-07,sii,3501,維熹,電子零組件業,506773,488671,441198,3.70,14.86,3127167,3373321,-7.30,-
2026-07,sii,3504,揚明光,光電業,266608,245781,211851,8.47,25.85,1689840,1566384,7.88,-
2026-07,sii,3515,華擎,電腦及週邊設備業,6610427,3699865,2857376,78.67,131.35,30081650,25309347,18.86,"“本年累計營業收入淨額”採年平均匯率計算,“本月營業收入淨額”採該月平均匯率計算,故累計營收淨額與各月營收淨額加總會有差異"
2026-07,sii,3518,柏騰,其他電子業,23271,15971,27793,45.71,-16.27,137716,186082,-25.99,-
2026-07,sii,3528,安馳,電子通路業,1207978,1091604,742929,10.66,62.60,7910582,4367427,81.13,AI伺服器應用帶動測試相關需求增加，週邊電源應用及工控需求上升。
2026-07,sii,3530,晶相光,半導體業,172444,167832,130164,2.75,32.48,1312768,935363,40.35,-
2026-07,sii,3532,台勝科,半導體業,1303041,1224081,1011902,6.45,28.77,8221946,6988985,17.64,-
2026-07,sii,3533,嘉澤,電子零組件業,3368915,3094216,2840496,8.88,18.60,22280169,18971476,17.44,-
2026-07,sii,3535,晶彩科,光電業,52322,72968,4520,-28.29,1057.57,581053,108472,435.67,本公司以銷售機台為主，115年累計出售機台較去年同期增加，此為產業特性，尚屬正常。
2026-07,sii,3543,州巧,光電業,291108,268764,263628,8.31,10.42,1954570,1975598,-1.06,-
2026-07,sii,3545,敦泰,半導體業,910914,900079,1062536,1.20,-14.27,6139474,7106639,-13.61,-
2026-07,sii,3550,聯穎,電子零組件業,412542,370328,298234,11.40,38.33,2630494,2039839,28.96,-
