report_month,market,company_id,company_name,industry,rev_month_twd_k,rev_prev_month_twd_k,rev_year_ago_month_twd_k,mom_pct,yoy_pct,rev_cum_twd_k,rev_cum_prev_year_twd_k,cum_yoy_pct,note
2026-08,sii,1101,台泥,水泥工業,13515534,13744103,12214776,-1.66,10.65,98726969,96131621,2.70,-
2026-08,sii,1102,亞泥,水泥工業,5590320,5398231,5663764,3.56,-1.30,43694999,46760798,-6.56,-
2026-08,sii,1103,嘉泥,水泥工業,230872,242322,236882,-4.73,-2.54,1828907,2009771,-9.00,-
2026-08,sii,1104,環泥,水泥工業,517521,663235,603054,-21.97,-14.18,4740038,5075610,-6.61,-
2026-08,sii,1108,幸福,水泥工業,290125,309786,344143,-6.35,-15.70,2503880,3074851,-18.57,-
2026-08,sii,1109,信大,水泥工業,268621,292047,365337,-8.02,-26.47,2418514,2955412,-18.17,-
2026-08,sii,1110,東泥,水泥工業,169661,261007,236226,-35.00,-28.18,1697994,1915787,-11.37,-
2026-08,sii,1201,味全,食品工業,2000571,1991488,1974741,0.46,1.31,14437677,14557137,-0.82,-
2026-08,sii,1203,味王,食品工業,460482,431017,470431,6.84,-2.11,3502289,3853876,-9.12,-
2026-08,sii,1210,大成,食品工業,9704420,9639463,8556083,0.67,13.42,73025213,66964322,9.05,-
2026-08,sii,1213,大飲,食品工業,40028,32555,34176,22.95,17.12,223170,192655,15.84,-
2026-08,sii,1215,卜蜂,食品工業,2363683,2562688,2333191,-7.77,1.31,19328014,18462943,4.69,-
2026-08,sii,1216,統一,食品工業,63101242,62168637,60796560,1.50,3.79,475247869,456749367,4.05,-
2026-08,sii,1217,愛之味,食品工業,680053,505906,591972,34.42,14.88,3539508,3506670,0.94,-
2026-08,sii,1218,泰山,食品工業,531098,563843,1021563,-5.81,-48.01,6127206,6851356,-10.57,-
2026-08,sii,1219,福壽,食品工業,984933,882904,1150184,11.56,-14.37,8944101,9394745,-4.80,-
2026-08,sii,1220,台榮,食品工業,361183,279357,280352,29.29,28.83,2144655,2110539,1.62,-
2026-08,sii,1225,福懋油,食品工業,715560,903312,939446,-20.78,-23.83,8047973,8177723,-1.59,-
2026-08,sii,1227,佳格,食品工業,2624457,2077948,2370684,26.30,10.70,18636102,17354367,7.39,-
2026-08,sii,1229,聯華,食品工業,883894,2104623,1017481,-58.00,-13.13,8022524,8528092,-5.93,-
2026-08,sii,1231,聯華食,食品工業,1248708,1184866,1168240,5.39,6.89,8759524,8418113,4.06,-
2026-08,sii,1232,大統益,食品工業,2395366,2488656,1780197,-3.75,34.56,16366019,14040068,16.57,-
2026-08,sii,1233,天仁,食品工業,193635,166958,178499,15.98,8.48,1492026,1418395,5.19,-
2026-08,sii,1234,黑松,食品工業,893504,866862,887896,3.07,0.63,6196982,6430833,-3.64,-
2026-08,sii,1235,興泰,食品工業,3666,8605,18931,-57.40,-80.63,105697,100030,5.67,"泰宇網通累計1-8月營收較去年同期增加8,133仟元"
2026-08,sii,1236,宏亞,食品工業,166049,167970,163447,-1.14,1.59,1219287,1149503,6.07,-
2026-08,sii,1256,鮮活果汁-KY,食品工業,648858,619291,516828,4.77,25.55,3915891,2819676,38.88,-
2026-08,sii,1301,台塑,塑膠工業,13992385,15293925,13103184,-8.51,6.79,118525399,120289544,-1.47,-
2026-08,sii,1303,南亞,塑膠工業,30601161,30572583,20853020,0.09,46.75,213417020,173273519,23.17,-
2026-08,sii,1304,台聚,塑膠工業,3671323,3340929,3376784,9.89,8.72,28772859,30613143,-6.01,-
2026-08,sii,1305,華夏,塑膠工業,682270,567866,768703,20.15,-11.24,6653515,6641394,0.18,-
2026-08,sii,1307,三芳,塑膠工業,1053304,1066159,950351,-1.21,10.83,7782856,7316353,6.38,-
2026-08,sii,1308,亞聚,塑膠工業,518710,501654,459866,3.40,12.80,3872607,3800931,1.89,-
