report_month,market,company_id,company_name,industry,rev_month_twd_k,rev_prev_month_twd_k,rev_year_ago_month_twd_k,mom_pct,yoy_pct,rev_cum_twd_k,rev_cum_prev_year_twd_k,cum_yoy_pct,note
2026-08,otc,1240,茂生農經,農業科技,251724,242511,230525,3.80,9.20,1934907,1795018,7.79,-
2026-08,otc,1259,安心,觀光餐旅,557241,550828,518800,1.16,7.41,4199264,4028338,4.24,-
2026-08,otc,1264,德麥,食品工業,574572,593252,526051,-3.15,9.22,4633411,4324235,7.15,-
2026-08,otc,1268,漢來美食,觀光餐旅,593410,551405,494542,7.62,19.99,4820456,4104798,17.43,-
2026-08,otc,1294,漢田生技,食品工業,51332,69919,68440,-26.58,-25.00,576577,494773,16.53,-
2026-08,otc,1295,生合,食品工業,75012,78660,75481,-4.64,-0.62,664388,682289,-2.62,-
2026-08,otc,1336,台翰,電子零組件業,314788,324336,215400,-2.94,46.14,1886730,1677830,12.45,-
2026-08,otc,1565,精華,生技醫療業,302119,303353,345141,-0.41,-12.47,2385832,2851420,-16.33,-
2026-08,otc,1569,濱川,電腦及週邊設備業,208971,207224,279673,0.84,-25.28,2041190,2210166,-7.65,-
2026-08,otc,1570,力肯,電機機械,30262,37664,54046,-19.65,-44.01,356082,390114,-8.72,-
2026-08,otc,1580,新麥,電機機械,374472,440522,416408,-14.99,-10.07,3079802,3181929,-3.21,-
2026-08,otc,1584,精剛,其他,210511,195477,199485,7.69,5.53,1490444,1745077,-14.59,-
2026-08,otc,1586,和勤,電機機械,209678,219209,186346,-4.35,12.52,1598332,1476316,8.26,-
2026-08,otc,1591,駿吉-KY,電機機械,53841,42489,5238,26.72,927.89,349504,79963,337.08,本期銷售數量增加所致
2026-08,otc,1593,祺驊,運動休閒,115295,122407,94577,-5.81,21.91,884304,786009,12.51,-
2026-08,otc,1595,川寶,半導體業,87427,111520,64469,-21.60,35.61,610904,478114,27.77,-
2026-08,otc,1599,宏佳騰,電機機械,292257,249147,147235,17.30,98.50,1614553,1268729,27.26,市場需求提升客戶增加拉貨所致
2026-08,otc,1742,台蠟,化學工業,8002,3653,5247,119.05,52.51,52979,83719,-36.72,本月營收較去年同期增加，係因蠟品較去年同期增加
2026-08,otc,1777,生泰,生技醫療業,134826,102068,114568,32.09,17.68,848871,868536,-2.26,-
2026-08,otc,1780,立弘,食品工業,74837,82537,66535,-9.33,12.48,655773,564500,16.17,-
2026-08,otc,1781,合世,生技醫療業,29128,21098,21874,38.06,33.16,243516,257328,-5.37,-
2026-08,otc,1784,訊聯,生技醫療業,109060,121005,95351,-9.87,14.38,883117,802804,10.00,-
2026-08,otc,1785,光洋科,其他電子業,4515809,5261124,3454857,-14.17,30.71,40546922,24815120,63.40,主係業績增長所致
2026-08,otc,1788,杏昌,生技醫療業,383189,362860,351739,5.60,8.94,2998845,2825309,6.14,-
2026-08,otc,1796,金穎生技,食品工業,57338,64643,64348,-11.30,-10.89,444105,444874,-0.17,-
2026-08,otc,1799,易威,生技醫療業,107765,67691,59075,59.20,82.42,638785,358573,78.15,因新藥/學名藥產品出貨較去年同期多，故營收成長。
2026-08,otc,1813,寶利徠,生技醫療業,22715,22779,22584,-0.28,0.58,193240,210239,-8.09,-
2026-08,otc,1815,富喬,電子零組件業,912400,854379,509132,6.79,79.21,5779410,3822377,51.20,主要受惠於AI伺服器與高速傳輸需求帶動高階產品出貨比重提高，電子級玻纖布產品市場價格走高。
2026-08,otc,2035,唐榮公司,鋼鐵工業,669227,880207,923686,-23.97,-27.55,6841168,6802803,0.56,-
2026-08,otc,2061,風青,電器電纜,119426,126081,83854,-5.28,42.42,918092,773138,18.75,-
2026-08,otc,2063,世鎧精密,鋼鐵工業,60563,88303,72923,-31.41,-16.95,608595,665406,-8.54,-
2026-08,otc,2064,晉椿,鋼鐵工業,128613,143500,140649,-10.37,-8.56,1166949,1007153,15.87,-
2026-08,otc,2065,世豐,鋼鐵工業,205027,240139,159291,-14.62,28.71,1537632,1389694,10.65,-
2026-08,otc,2066,世德,電機機械,223565,211148,199871,5.88,11.85,1906616,1754325,8.68,-
2026-08,otc,2067,嘉鋼,電機機械,80111,75520,80827,6.08,-0.89,620511,682244,-9.05,-
2026-08,otc,2070,精湛,電機機械,74081,106258,63963,-30.28,15.82,525837,421173,24.85,-
2026-08,otc,2073,雄順,鋼鐵工業,153282,147018,43822,4.26,249.78,679887,377011,80.34,主因今年第二季起開始增加購料含料自製生產銷售，使得營業收入增加。
2026-08,otc,2221,大甲,其他,198738,139767,109607,42.19,81.32,1145665,887484,29.09,本公司相關工程案訂單持續出貨所致。
2026-08,otc,2230,泰茂,居家生活,39324,133854,247693,-70.62,-84.12,1318884,1119480,17.81,酒水事業收入減少
