yyyymm,imex,hs_code,stage,value_jpy_k,quantity1,unit1,quantity2,unit2,source_file,retrieved_at
2026-07,E,848640000,DETAILED,31584720,5575,NO,1820767,KG,estat_E_2026-07_000040494506.csv,2026-09-02
2026-01,E,848690000,DETAILED,82461098,0,,2320387,KG,estat_E_2026-07_000040494506.csv,2026-09-02
2026-02,E,848690000,DETAILED,83101806,0,,3034098,KG,estat_E_2026-07_000040494506.csv,2026-09-02
2026-03,E,848690000,DETAILED,97979437,0,,3376652,KG,estat_E_2026-07_000040494506.csv,2026-09-02
2026-04,E,848690000,DETAILED,96358949,0,,2791559,KG,estat_E_2026-07_000040494506.csv,2026-09-02
2026-05,E,848690000,DETAILED,85166911,0,,2423706,KG,estat_E_2026-07_000040494506.csv,2026-09-02
2026-06,E,848690000,DETAILED,95031647,0,,2447309,KG,estat_E_2026-07_000040494506.csv,2026-09-02
2026-07,E,848690000,DETAILED,97936019,0,,2676475,KG,estat_E_2026-07_000040494506.csv,2026-09-02
2026-01,E,851711000,DETAILED,20553,0,,609,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-02,E,851711000,DETAILED,4898,0,,133,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-03,E,851711000,DETAILED,9711,0,,240,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-04,E,851711000,DETAILED,24170,0,,716,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-05,E,851711000,DETAILED,17249,0,,524,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-06,E,851711000,DETAILED,213,0,,2,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-07,E,851711000,DETAILED,17273,0,,523,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-01,E,851713000,DETAILED,740396,0,,31952,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-02,E,851713000,DETAILED,205210,0,,17112,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-03,E,851713000,DETAILED,430515,0,,30004,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-04,E,851713000,DETAILED,351408,0,,41171,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-05,E,851713000,DETAILED,360585,0,,62826,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-06,E,851713000,DETAILED,497466,0,,34594,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-07,E,851713000,DETAILED,616304,0,,57760,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-01,E,851714000,DETAILED,7796,0,,38,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-02,E,851714000,DETAILED,11018,0,,43,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-03,E,851714000,DETAILED,21738,0,,83,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-04,E,851714000,DETAILED,11413,0,,126,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-05,E,851714000,DETAILED,10581,0,,33,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-06,E,851714000,DETAILED,13004,0,,1632,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-07,E,851714000,DETAILED,8128,0,,84,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-01,E,851718000,DETAILED,209185,0,,6135,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-02,E,851718000,DETAILED,234027,0,,5109,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-03,E,851718000,DETAILED,309095,0,,6677,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-04,E,851718000,DETAILED,454897,0,,6988,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-05,E,851718000,DETAILED,294196,0,,6807,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-06,E,851718000,DETAILED,291942,0,,3625,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-07,E,851718000,DETAILED,179033,0,,2743,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-01,E,851761000,DETAILED,854992,0,,1339,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-02,E,851761000,DETAILED,86930,0,,359,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-03,E,851761000,DETAILED,2779194,0,,3000,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-04,E,851761000,DETAILED,189640,0,,480,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-05,E,851761000,DETAILED,1016948,0,,402,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-06,E,851761000,DETAILED,260483,0,,448,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-07,E,851761000,DETAILED,488811,0,,953,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-01,E,851762000,DETAILED,15321444,0,,2568458,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-02,E,851762000,DETAILED,16978380,0,,2568934,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-03,E,851762000,DETAILED,18049795,0,,2909590,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-04,E,851762000,DETAILED,15026414,0,,2786305,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-05,E,851762000,DETAILED,14091438,0,,2173219,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-06,E,851762000,DETAILED,17155417,0,,2757754,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-07,E,851762000,DETAILED,19086950,0,,2898545,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-01,E,851769000,DETAILED,176797,0,,19479,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-02,E,851769000,DETAILED,379007,0,,46073,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-03,E,851769000,DETAILED,327299,0,,19768,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-04,E,851769000,DETAILED,264729,0,,19337,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-05,E,851769000,DETAILED,285817,0,,35503,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-06,E,851769000,DETAILED,310505,0,,25520,NO,estat_E_2026-07_000040494506.csv,2026-09-02
