yyyymm,period_type,stage,lang,section,imex,area,name,level,value_jpy_m,value_year_ago_jpy_m,yoy_pct,quantity,unit,qty_yoy_pct,share_pct,contribution_pt,extra_json,retrieved_at
2026-07,MONTH_PROV,4,en,AREA,BAL,Grand Total,Grand Total,0,-634500,,306,,,,,,"{""chiikikuni"": ""Grand Total"", ""chiikikunikbn"": ""0"", ""exportkagakue"": ""11,511,798"", ""exportnobiritsu"": ""23.2"", ""importkagakue"": ""12,146,298"", ""importnobiritsu"": ""27.8"", ""sashihikikagakue"": ""-634,500"", ""sashihikinobiritsu"": ""306.0""}",2026-09-02
2026-07,MONTH_PROV,4,en,AREA,E,ASIA,ASIA,1,6317310,,24.50,,,,,,"{""chiikikuni"": ""ASIA"", ""chiikikunikbn"": ""1"", ""exportkagakue"": ""6,317,310"", ""exportnobiritsu"": ""24.5"", ""importkagakue"": ""6,079,406"", ""importnobiritsu"": ""32.1"", ""sashihikikagakue"": ""237,904"", ""sashihikinobiritsu"": ""-49.6""}",2026-09-02
2026-07,MONTH_PROV,4,en,AREA,I,ASIA,ASIA,1,6079406,,32.10,,,,,,"{""chiikikuni"": ""ASIA"", ""chiikikunikbn"": ""1"", ""exportkagakue"": ""6,317,310"", ""exportnobiritsu"": ""24.5"", ""importkagakue"": ""6,079,406"", ""importnobiritsu"": ""32.1"", ""sashihikikagakue"": ""237,904"", ""sashihikinobiritsu"": ""-49.6""}",2026-09-02
2026-07,MONTH_PROV,4,en,AREA,BAL,ASIA,ASIA,1,237904,,-49.60,,,,,,"{""chiikikuni"": ""ASIA"", ""chiikikunikbn"": ""1"", ""exportkagakue"": ""6,317,310"", ""exportnobiritsu"": ""24.5"", ""importkagakue"": ""6,079,406"", ""importnobiritsu"": ""32.1"", ""sashihikikagakue"": ""237,904"", ""sashihikinobiritsu"": ""-49.6""}",2026-09-02
2026-07,MONTH_PROV,4,en,AREA,E,CHINA,CHINA,2,2008985,,25.80,,,,,,"{""chiikikuni"": ""CHINA"", ""chiikikunikbn"": ""2"", ""exportkagakue"": ""2,008,985"", ""exportnobiritsu"": ""25.8"", ""importkagakue"": ""2,784,363"", ""importnobiritsu"": ""26.2"", ""sashihikikagakue"": ""-775,378"", ""sashihikinobiritsu"": ""27.2""}",2026-09-02
2026-07,MONTH_PROV,4,en,AREA,I,CHINA,CHINA,2,2784363,,26.20,,,,,,"{""chiikikuni"": ""CHINA"", ""chiikikunikbn"": ""2"", ""exportkagakue"": ""2,008,985"", ""exportnobiritsu"": ""25.8"", ""importkagakue"": ""2,784,363"", ""importnobiritsu"": ""26.2"", ""sashihikikagakue"": ""-775,378"", ""sashihikinobiritsu"": ""27.2""}",2026-09-02
2026-07,MONTH_PROV,4,en,AREA,BAL,CHINA,CHINA,2,-775378,,27.20,,,,,,"{""chiikikuni"": ""CHINA"", ""chiikikunikbn"": ""2"", ""exportkagakue"": ""2,008,985"", ""exportnobiritsu"": ""25.8"", ""importkagakue"": ""2,784,363"", ""importnobiritsu"": ""26.2"", ""sashihikikagakue"": ""-775,378"", ""sashihikinobiritsu"": ""27.2""}",2026-09-02
2026-07,MONTH_PROV,4,en,AREA,E,HG KONG,HG KONG,2,516675,,-7.90,,,,,,"{""chiikikuni"": ""HG KONG"", ""chiikikunikbn"": ""2"", ""exportkagakue"": ""516,675"", ""exportnobiritsu"": ""-7.9"", ""importkagakue"": ""11,875"", ""importnobiritsu"": ""10.6"", ""sashihikikagakue"": ""504,800"", ""sashihikinobiritsu"": ""-8.2""}",2026-09-02
2026-07,MONTH_PROV,4,en,AREA,I,HG KONG,HG KONG,2,11875,,10.60,,,,,,"{""chiikikuni"": ""HG KONG"", ""chiikikunikbn"": ""2"", ""exportkagakue"": ""516,675"", ""exportnobiritsu"": ""-7.9"", ""importkagakue"": ""11,875"", ""importnobiritsu"": ""10.6"", ""sashihikikagakue"": ""504,800"", ""sashihikinobiritsu"": ""-8.2""}",2026-09-02
2026-07,MONTH_PROV,4,en,AREA,BAL,HG KONG,HG KONG,2,504800,,-8.20,,,,,,"{""chiikikuni"": ""HG KONG"", ""chiikikunikbn"": ""2"", ""exportkagakue"": ""516,675"", ""exportnobiritsu"": ""-7.9"", ""importkagakue"": ""11,875"", ""importnobiritsu"": ""10.6"", ""sashihikikagakue"": ""504,800"", ""sashihikinobiritsu"": ""-8.2""}",2026-09-02
2026-07,MONTH_PROV,4,en,AREA,E,TAIWAN,TAIWAN,2,909305,,43.50,,,,,,"{""chiikikuni"": ""TAIWAN"", ""chiikikunikbn"": ""2"", ""exportkagakue"": ""909,305"", ""exportnobiritsu"": ""43.5"", ""importkagakue"": ""662,104"", ""importnobiritsu"": ""65.9"", ""sashihikikagakue"": ""247,201"", ""sashihikinobiritsu"": ""5.3""}",2026-09-02
2026-07,MONTH_PROV,4,en,AREA,I,TAIWAN,TAIWAN,2,662104,,65.90,,,,,,"{""chiikikuni"": ""TAIWAN"", ""chiikikunikbn"": ""2"", ""exportkagakue"": ""909,305"", ""exportnobiritsu"": ""43.5"", ""importkagakue"": ""662,104"", ""importnobiritsu"": ""65.9"", ""sashihikikagakue"": ""247,201"", ""sashihikinobiritsu"": ""5.3""}",2026-09-02
2026-07,MONTH_PROV,4,en,AREA,BAL,TAIWAN,TAIWAN,2,247201,,5.30,,,,,,"{""chiikikuni"": ""TAIWAN"", ""chiikikunikbn"": ""2"", ""exportkagakue"": ""909,305"", ""exportnobiritsu"": ""43.5"", ""importkagakue"": ""662,104"", ""importnobiritsu"": ""65.9"", ""sashihikikagakue"": ""247,201"", ""sashihikinobiritsu"": ""5.3""}",2026-09-02
2026-07,MONTH_PROV,4,en,AREA,E,R KOREA,R KOREA,2,744362,,31.20,,,,,,"{""chiikikuni"": ""R KOREA"", ""chiikikunikbn"": ""2"", ""exportkagakue"": ""744,362"", ""exportnobiritsu"": ""31.2"", ""importkagakue"": ""507,137"", ""importnobiritsu"": ""28.8"", ""sashihikikagakue"": ""237,225"", ""sashihikinobiritsu"": ""36.6""}",2026-09-02
2026-07,MONTH_PROV,4,en,AREA,I,R KOREA,R KOREA,2,507137,,28.80,,,,,,"{""chiikikuni"": ""R KOREA"", ""chiikikunikbn"": ""2"", ""exportkagakue"": ""744,362"", ""exportnobiritsu"": ""31.2"", ""importkagakue"": ""507,137"", ""importnobiritsu"": ""28.8"", ""sashihikikagakue"": ""237,225"", ""sashihikinobiritsu"": ""36.6""}",2026-09-02
2026-07,MONTH_PROV,4,en,AREA,BAL,R KOREA,R KOREA,2,237225,,36.60,,,,,,"{""chiikikuni"": ""R KOREA"", ""chiikikunikbn"": ""2"", ""exportkagakue"": ""744,362"", ""exportnobiritsu"": ""31.2"", ""importkagakue"": ""507,137"", ""importnobiritsu"": ""28.8"", ""sashihikikagakue"": ""237,225"", ""sashihikinobiritsu"": ""36.6""}",2026-09-02
2026-07,MONTH_PROV,4,en,AREA,E,SNGAPOR,SNGAPOR,2,390707,,48.80,,,,,,"{""chiikikuni"": ""SNGAPOR"", ""chiikikunikbn"": ""2"", ""exportkagakue"": ""390,707"", ""exportnobiritsu"": ""48.8"", ""importkagakue"": ""145,833"", ""importnobiritsu"": ""58.9"", ""sashihikikagakue"": ""244,874"", ""sashihikinobiritsu"": ""43.4""}",2026-09-02
2026-07,MONTH_PROV,4,en,AREA,I,SNGAPOR,SNGAPOR,2,145833,,58.90,,,,,,"{""chiikikuni"": ""SNGAPOR"", ""chiikikunikbn"": ""2"", ""exportkagakue"": ""390,707"", ""exportnobiritsu"": ""48.8"", ""importkagakue"": ""145,833"", ""importnobiritsu"": ""58.9"", ""sashihikikagakue"": ""244,874"", ""sashihikinobiritsu"": ""43.4""}",2026-09-02
2026-07,MONTH_PROV,4,en,AREA,BAL,SNGAPOR,SNGAPOR,2,244874,,43.40,,,,,,"{""chiikikuni"": ""SNGAPOR"", ""chiikikunikbn"": ""2"", ""exportkagakue"": ""390,707"", ""exportnobiritsu"": ""48.8"", ""importkagakue"": ""145,833"", ""importnobiritsu"": ""58.9"", ""sashihikikagakue"": ""244,874"", ""sashihikinobiritsu"": ""43.4""}",2026-09-02
