date,value,currency,sources,note
2015-04-23,0.04839,GBP,EODHD,
2015-10-22,0.03181,GBP,EODHD,
2016-04-28,0.02437,GBP,EODHD,
2016-10-20,0.01579,GBP,EODHD,
2017-04-27,0.071,GBP,EODHD,
2017-10-26,0.01579,GBP,EODHD,
2018-04-26,0.02437,GBP,EODHD,
2018-10-25,0.01579,GBP,EODHD,
2019-04-25,0.02437,GBP,EODHD,
2019-10-24,0.01579,GBP,EODHD,
2025-04-17,0.06,GBP,EODHD+IBKR,
2025-08-07,0.045,GBP,EODHD+IBKR,
2026-04-23,0.05,GBP,EODHD+IBKR,
2026-08-06,0.06,GBP,EODHD+IBKR,
