date,value,currency,sources,note
2015-01-16,11.961,CAD,EODHD,
2016-01-18,14.541,CAD,EODHD,
2017-01-17,13.175,CAD,EODHD,
2018-01-17,12.435,CAD,EODHD,
2019-01-17,13.255,CAD,EODHD,
2020-01-16,13.042,CAD,EODHD,
2021-01-20,12.73,CAD,EODHD,
2022-01-19,12.507,CAD,EODHD+IBKR,
2023-01-18,13.388,CAD,EODHD+IBKR,
2024-01-17,20.237,CAD,EODHD+IBKR,
2025-01-16,21.504,CAD,EODHD+IBKR,
2026-01-15,20.817,CAD,EODHD+IBKR,
