type,date,announce_date,payment_date,value,currency
"CashDividends","20260115","20260105","20260122","15.0","USD"
"CashDividends","20250116","20250103","20250123","15.0","USD"
"CashDividends","20240117","20240103","20240125","15.0","USD"
"CashDividends","20230118","20230104","20230126","10.0","USD"
"CashDividends","20220119","20220105","20220127","10.0","USD"
