type,date,announce_date,payment_date,value,currency
"CashDividends","20260806","20260730","20260918","0.06","GBP"
"CashDividends","20260423","20260226","20260603","0.05","GBP"
"CashDividends","20250807","20250731","20250918","0.045","GBP"
"CashDividends","20250417","20250227","20250616","0.06","GBP"
