KEY,FREQ,CURRENCY,CURRENCY_DENOM,EXR_TYPE,EXR_SUFFIX,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,OBS_PRE_BREAK,OBS_COM,TIME_FORMAT,BREAKS,COLLECTION,COMPILING_ORG,DISS_ORG,DOM_SER_IDS,PUBL_ECB,PUBL_MU,PUBL_PUBLIC,UNIT_INDEX_BASE,COMPILATION,COVERAGE,DECIMALS,NAT_TITLE,SOURCE_AGENCY,SOURCE_PUB,TITLE,TITLE_COMPL,UNIT,UNIT_MULT
EXR.D.JPY.EUR.SP00.A,D,JPY,EUR,SP00,A,2021-01-04,126.62,A,F,,,P1D,,A,,,,,,,99Q1=100,,,2,,4F0,,Japanese yen/Euro ECB reference exchange rate,"ECB reference exchange rate, Japanese yen/Euro, 2.15 pm (C.E.T.)",JPY,0
EXR.D.JPY.EUR.SP00.A,D,JPY,EUR,SP00,A,2021-01-05,126.25,A,F,,,P1D,,A,,,,,,,99Q1=100,,,2,,4F0,,Japanese yen/Euro ECB reference exchange rate,"ECB reference exchange rate, Japanese yen/Euro, 2.15 pm (C.E.T.)",JPY,0
EXR.D.JPY.EUR.SP00.A,D,JPY,EUR,SP00,A,2021-01-06,127.03,A,F,,,P1D,,A,,,,,,,99Q1=100,,,2,,4F0,,Japanese yen/Euro ECB reference exchange rate,"ECB reference exchange rate, Japanese yen/Euro, 2.15 pm (C.E.T.)",JPY,0
EXR.D.JPY.EUR.SP00.A,D,JPY,EUR,SP00,A,2021-01-07,127.13,A,F,,,P1D,,A,,,,,,,99Q1=100,,,2,,4F0,,Japanese yen/Euro ECB reference exchange rate,"ECB reference exchange rate, Japanese yen/Euro, 2.15 pm (C.E.T.)",JPY,0
EXR.D.JPY.EUR.SP00.A,D,JPY,EUR,SP00,A,2021-01-08,127.26,A,F,,,P1D,,A,,,,,,,99Q1=100,,,2,,4F0,,Japanese yen/Euro ECB reference exchange rate,"ECB reference exchange rate, Japanese yen/Euro, 2.15 pm (C.E.T.)",JPY,0
EXR.D.JPY.EUR.SP00.A,D,JPY,EUR,SP00,A,2021-01-11,126.76,A,F,,,P1D,,A,,,,,,,99Q1=100,,,2,,4F0,,Japanese yen/Euro ECB reference exchange rate,"ECB reference exchange rate, Japanese yen/Euro, 2.15 pm (C.E.T.)",JPY,0
EXR.D.JPY.EUR.SP00.A,D,JPY,EUR,SP00,A,2021-01-12,126.74,A,F,,,P1D,,A,,,,,,,99Q1=100,,,2,,4F0,,Japanese yen/Euro ECB reference exchange rate,"ECB reference exchange rate, Japanese yen/Euro, 2.15 pm (C.E.T.)",JPY,0
EXR.D.JPY.EUR.SP00.A,D,JPY,EUR,SP00,A,2021-01-13,126.44,A,F,,,P1D,,A,,,,,,,99Q1=100,,,2,,4F0,,Japanese yen/Euro ECB reference exchange rate,"ECB reference exchange rate, Japanese yen/Euro, 2.15 pm (C.E.T.)",JPY,0
EXR.D.JPY.EUR.SP00.A,D,JPY,EUR,SP00,A,2021-01-14,126.21,A,F,,,P1D,,A,,,,,,,99Q1=100,,,2,,4F0,,Japanese yen/Euro ECB reference exchange rate,"ECB reference exchange rate, Japanese yen/Euro, 2.15 pm (C.E.T.)",JPY,0
EXR.D.JPY.EUR.SP00.A,D,JPY,EUR,SP00,A,2021-01-15,125.74,A,F,,,P1D,,A,,,,,,,99Q1=100,,,2,,4F0,,Japanese yen/Euro ECB reference exchange rate,"ECB reference exchange rate, Japanese yen/Euro, 2.15 pm (C.E.T.)",JPY,0
EXR.D.JPY.EUR.SP00.A,D,JPY,EUR,SP00,A,2021-01-18,125.18,A,F,,,P1D,,A,,,,,,,99Q1=100,,,2,,4F0,,Japanese yen/Euro ECB reference exchange rate,"ECB reference exchange rate, Japanese yen/Euro, 2.15 pm (C.E.T.)",JPY,0
EXR.D.JPY.EUR.SP00.A,D,JPY,EUR,SP00,A,2021-01-19,126.16,A,F,,,P1D,,A,,,,,,,99Q1=100,,,2,,4F0,,Japanese yen/Euro ECB reference exchange rate,"ECB reference exchange rate, Japanese yen/Euro, 2.15 pm (C.E.T.)",JPY,0
EXR.D.JPY.EUR.SP00.A,D,JPY,EUR,SP00,A,2021-01-20,125.62,A,F,,,P1D,,A,,,,,,,99Q1=100,,,2,,4F0,,Japanese yen/Euro ECB reference exchange rate,"ECB reference exchange rate, Japanese yen/Euro, 2.15 pm (C.E.T.)",JPY,0
EXR.D.JPY.EUR.SP00.A,D,JPY,EUR,SP00,A,2021-01-21,125.72,A,F,,,P1D,,A,,,,,,,99Q1=100,,,2,,4F0,,Japanese yen/Euro ECB reference exchange rate,"ECB reference exchange rate, Japanese yen/Euro, 2.15 pm (C.E.T.)",JPY,0
EXR.D.JPY.EUR.SP00.A,D,JPY,EUR,SP00,A,2021-01-22,126.19,A,F,,,P1D,,A,,,,,,,99Q1=100,,,2,,4F0,,Japanese yen/Euro ECB reference exchange rate,"ECB reference exchange rate, Japanese yen/Euro, 2.15 pm (C.E.T.)",JPY,0
EXR.D.JPY.EUR.SP00.A,D,JPY,EUR,SP00,A,2021-01-25,126.06,A,F,,,P1D,,A,,,,,,,99Q1=100,,,2,,4F0,,Japanese yen/Euro ECB reference exchange rate,"ECB reference exchange rate, Japanese yen/Euro, 2.15 pm (C.E.T.)",JPY,0
EXR.D.JPY.EUR.SP00.A,D,JPY,EUR,SP00,A,2021-01-26,125.93,A,F,,,P1D,,A,,,,,,,99Q1=100,,,2,,4F0,,Japanese yen/Euro ECB reference exchange rate,"ECB reference exchange rate, Japanese yen/Euro, 2.15 pm (C.E.T.)",JPY,0
EXR.D.JPY.EUR.SP00.A,D,JPY,EUR,SP00,A,2021-01-27,125.87,A,F,,,P1D,,A,,,,,,,99Q1=100,,,2,,4F0,,Japanese yen/Euro ECB reference exchange rate,"ECB reference exchange rate, Japanese yen/Euro, 2.15 pm (C.E.T.)",JPY,0
EXR.D.JPY.EUR.SP00.A,D,JPY,EUR,SP00,A,2021-01-28,126.2,A,F,,,P1D,,A,,,,,,,99Q1=100,,,2,,4F0,,Japanese yen/Euro ECB reference exchange rate,"ECB reference exchange rate, Japanese yen/Euro, 2.15 pm (C.E.T.)",JPY,0
EXR.D.JPY.EUR.SP00.A,D,JPY,EUR,SP00,A,2021-01-29,127.05,A,F,,,P1D,,A,,,,,,,99Q1=100,,,2,,4F0,,Japanese yen/Euro ECB reference exchange rate,"ECB reference exchange rate, Japanese yen/Euro, 2.15 pm (C.E.T.)",JPY,0
EXR.D.JPY.EUR.SP00.A,D,JPY,EUR,SP00,A,2021-02-01,126.77,A,F,,,P1D,,A,,,,,,,99Q1=100,,,2,,4F0,,Japanese yen/Euro ECB reference exchange rate,"ECB reference exchange rate, Japanese yen/Euro, 2.15 pm (C.E.T.)",JPY,0
EXR.D.JPY.EUR.SP00.A,D,JPY,EUR,SP00,A,2021-02-02,126.46,A,F,,,P1D,,A,,,,,,,99Q1=100,,,2,,4F0,,Japanese yen/Euro ECB reference exchange rate,"ECB reference exchange rate, Japanese yen/Euro, 2.15 pm (C.E.T.)",JPY,0
EXR.D.JPY.EUR.SP00.A,D,JPY,EUR,SP00,A,2021-02-03,126.25,A,F,,,P1D,,A,,,,,,,99Q1=100,,,2,,4F0,,Japanese yen/Euro ECB reference exchange rate,"ECB reference exchange rate, Japanese yen/Euro, 2.15 pm (C.E.T.)",JPY,0
EXR.D.JPY.EUR.SP00.A,D,JPY,EUR,SP00,A,2021-02-04,126.24,A,F,,,P1D,,A,,,,,,,99Q1=100,,,2,,4F0,,Japanese yen/Euro ECB reference exchange rate,"ECB reference exchange rate, Japanese yen/Euro, 2.15 pm (C.E.T.)",JPY,0
EXR.D.JPY.EUR.SP00.A,D,JPY,EUR,SP00,A,2021-02-05,126.72,A,F,,,P1D,,A,,,,,,,99Q1=100,,,2,,4F0,,Japanese yen/Euro ECB reference exchange rate,"ECB reference exchange rate, Japanese yen/Euro, 2.15 pm (C.E.T.)",JPY,0
