Date,Open,High,Low,Close,Adjusted_close,Volume
2015-01-02,25.9617,26.4479,25.9158,26.313,17.8169,1359834
2015-01-05,25.8232,25.8784,24.8889,25.0181,16.94,2032188
2015-01-06,25.0181,25.4249,24.9626,25.046,16.959,2492800
2015-01-07,25.1107,25.6012,24.9626,25.4807,17.2533,1400749
2015-01-08,25.7211,26.2948,25.6012,26.2114,17.748,1260723
2015-01-09,26.2304,26.4157,26.1188,26.2572,17.7791,953521
2015-01-12,25.8322,25.9987,25.2589,25.8051,17.4729,1974133
2015-01-13,25.4714,25.6473,24.3148,24.5648,16.6331,3887404
2015-01-14,22.992,23.7228,21.8352,23.6484,16.0126,8953743
2015-01-15,24.0094,24.2962,23.4914,23.7595,16.0879,3778576
2015-01-16,23.9636,25.1572,23.8985,25.0646,16.9715,3975992
2015-01-20,24.9809,25.1292,24.6946,25.0271,16.9462,2468538
2015-01-21,25.0368,25.7953,24.9029,25.7301,17.4222,2082204
2015-01-22,25.9895,26.3595,25.9437,26.1565,17.7109,1830571
2015-01-23,25.5917,25.7301,25.0646,25.0918,16.99,2037712
2015-01-26,24.9809,25.8095,24.833,25.5917,17.3284,1870714
2015-01-27,24.4721,25.2589,24.4258,24.9626,16.9025,2885099
2015-01-28,24.9348,25.3514,24.648,24.7037,16.7272,1813812
2015-01-29,24.6666,24.7309,24.1755,24.6299,16.6772,2154243
2015-01-30,24.3981,25.5732,24.1944,25.2403,17.0905,3271350
2015-02-02,25.416,25.7862,25.0134,25.3232,17.1466,2527826
2015-02-03,25.8882,26.7764,25.8784,26.7388,18.1051,3715675
2015-02-04,26.4242,27.655,26.3595,27.0351,18.3058,3596473
2015-02-05,26.8965,27.6276,26.5355,27.5164,18.6317,2911631
2015-02-06,26.9987,27.3401,26.8965,26.9519,18.2495,1915212
2015-02-09,27.0077,27.6181,26.9149,27.3779,18.5379,1369484
2015-02-10,27.1556,27.4795,26.8875,27.3314,18.5064,2053849
2015-02-11,27.2203,27.2664,26.6926,27.0817,18.3373,2801376
2015-02-12,27.5347,27.8961,27.4795,27.8776,18.941,1854999
2015-02-13,28.1551,28.6361,27.9328,28.1551,19.1295,1597605
2015-02-17,27.8127,28.3861,27.7851,28.1827,19.1483,1356592
2015-02-18,28.127,28.6361,28.0301,28.4232,19.3116,1277080
2015-02-19,28.2005,28.2567,27.84,27.9237,18.9723,1291479
2015-02-20,27.8495,28.0345,27.794,27.9422,18.9849,1126904
2015-02-23,27.572,27.9237,27.405,27.8308,18.9092,1394110
2015-02-24,28.127,28.2383,27.7851,27.8217,18.903,1419672
2015-02-25,27.9328,27.951,27.6648,27.8217,18.903,1165501
2015-02-26,27.9422,28.0074,27.6276,27.6729,18.8019,1431868
2015-02-27,27.8217,28.0107,27.5442,27.5442,18.7144,1743697
2015-03-02,27.498,28.0254,27.3493,27.5904,18.7459,1882369
2015-03-03,27.581,27.8217,27.322,27.3493,18.582,1270754
2015-03-04,27.0259,27.6829,26.9056,27.5904,18.7459,1456573
2015-03-05,27.4795,27.8495,27.2111,27.2574,18.5196,1742756
2015-03-06,26.6652,26.8965,26.4428,26.6836,18.1297,1956376
2015-03-09,26.7764,26.9234,26.4989,26.7388,18.1672,1553095
2015-03-10,26.3414,26.7297,26.0265,26.2114,17.8089,2045777
2015-03-11,26.2026,26.8499,25.8512,26.7482,18.1736,1939548
2015-03-12,27.2386,27.6091,26.9337,27.0259,18.3623,2102269
2015-03-13,26.8591,26.9149,26.3876,26.8137,18.2181,1412614
2015-03-16,26.8781,27.0446,26.5542,26.8225,18.2241,1090026
2015-03-17,26.6465,27.2018,26.6465,26.9987,18.3438,1172241
2015-03-18,26.6282,27.5164,26.6004,27.3869,18.6076,1651160
2015-03-19,27.2853,27.4421,27.0446,27.2111,18.4881,1252849
2015-03-20,27.5071,28.2383,27.4886,27.7851,18.8781,3069672
2015-03-23,28.0624,28.2104,27.6461,28.1179,19.1042,1645337
2015-03-24,28.1,28.4325,27.6648,27.8217,18.903,1945712
2015-03-25,28.0527,28.1,27.4421,27.4421,18.6451,1788765
2015-03-26,27.4886,27.8961,27.1508,27.2111,18.4881,1762885
2015-03-27,26.9519,27.1091,25.9158,26.2114,17.8089,4232995
2015-03-30,26.2488,27.5347,26.2114,27.3779,18.6014,2305793
2015-03-31,26.8137,27.0727,26.6372,26.9987,18.3438,1551906
2015-04-01,27.0172,27.3314,26.656,26.7482,18.1736,1631767
2015-04-02,26.5626,27.0259,26.5542,26.9987,18.3438,1024680
2015-04-06,27.2203,27.4518,27.082,27.3124,18.557,1084978
2015-04-07,27.2853,27.4698,27.1463,27.2299,18.5009,1114197
2015-04-08,27.6181,27.6729,27.2574,27.3038,18.5511,848369
2015-04-09,27.1091,27.2574,26.8781,26.9056,18.2806,1369290
2015-04-10,26.9337,27.1556,26.6652,26.8684,18.2553,1630491
2015-04-13,26.9337,27.0631,26.5683,26.8225,18.2241,1662612
2015-04-14,27.2574,27.3493,26.7297,27.1651,18.4569,1255827
2015-04-15,27.2386,27.8867,27.128,27.8034,18.8906,1861658
2015-04-16,27.951,27.951,27.5442,27.8127,18.8969,1125008
2015-04-17,27.6366,27.84,27.572,27.7571,18.8591,1118356
2015-04-20,27.6922,28.0163,27.6922,27.7571,18.8591,933383
2015-04-21,27.7663,27.7851,27.1741,27.2947,18.5449,916374
2015-04-22,27.5071,27.6461,27.2758,27.6091,18.7585,726922
2015-04-23,27.2574,27.9885,27.2111,27.8867,18.9472,1111044
2015-04-24,28.2005,28.6674,28.1459,28.6269,19.4501,2163894
2015-04-27,28.6812,29.3674,28.6547,29.0059,19.7076,2023697
2015-04-28,29.2655,29.9307,29.2282,29.9031,20.3171,2404563
2015-04-29,29.672,30.1291,29.4963,29.9587,20.355,1775890
2015-04-30,29.7183,30.3379,29.5336,30.1438,20.4807,2352884
2015-05-01,30.4114,30.8188,30.3469,30.6613,20.8323,1426780
2015-05-04,30.8094,30.8094,30.1804,30.1991,20.5183,1623562
2015-05-05,30.328,30.5365,30.1896,30.4859,20.7131,1913318
2015-05-06,30.5321,30.6435,30.0326,30.1896,20.5118,1221186
2015-05-07,29.7643,29.9079,29.4783,29.8016,20.2482,1588233
2015-05-08,30.0697,30.2636,29.6996,30.0239,20.3992,1900654
2015-05-11,30.0512,30.079,29.6996,29.8016,20.3108,1108587
2015-05-12,29.7736,30.4114,29.5883,29.94,20.4051,2420484
2015-05-13,29.986,30.3746,29.8938,29.986,20.4364,1079809
2015-05-14,30.245,30.569,30.0419,30.5321,20.8086,1318892
2015-05-15,30.4947,30.5146,30.0419,30.3379,20.6763,1097241
2015-05-18,29.94,30.0887,29.6446,29.8204,20.3236,1398197
2015-05-19,29.4032,29.5883,29.0481,29.2931,19.9642,1364019
2015-05-20,29.3674,29.9307,29.3674,29.7183,20.254,1237226
2015-05-21,29.7923,29.8104,29.0617,29.1534,19.869,1026026
2015-05-22,29.0892,29.2748,28.8488,29.0245,19.7812,867867
2015-05-26,28.8022,28.8582,28.3034,28.3771,19.34,987658
2015-05-27,28.2383,28.4737,28.1827,28.4325,19.3777,1325786
2015-05-28,28.4325,28.4325,27.9557,28.2188,19.2321,936576
2015-05-29,28.1827,28.4598,27.7663,27.7754,18.9299,1767160
2015-06-01,27.8034,28.0438,27.5071,27.8217,18.9614,1135935
2015-06-02,27.8776,28.8899,27.8776,28.5893,19.4845,1267534
2015-06-03,28.6918,28.8118,28.2383,28.3771,19.34,1004157
2015-06-04,28.127,28.3488,27.9328,28.0905,19.1446,545225
2015-06-05,27.9698,28.4325,27.799,28.127,19.1695,900491
2015-06-08,28.071,28.1551,27.84,27.9788,19.0685,888562
2015-06-09,28.0438,28.4185,27.9237,28.1,19.1511,753239
2015-06-10,28.8213,28.9506,28.3308,28.4139,19.365,857392
2015-06-11,28.3771,28.4881,27.9604,28.1827,19.2075,1528961
2015-06-12,28.1738,28.4973,28.0624,28.4139,19.365,611916
2015-06-15,27.9422,28.0806,27.7478,27.8961,19.0121,1272941
2015-06-16,27.9604,28.5248,27.8961,28.442,19.3842,1064399
2015-06-17,28.4973,28.4973,27.8495,28.2104,19.2263,1103434
2015-06-18,28.4232,29.0059,28.3034,28.9416,19.7247,1014661
2015-06-19,28.7288,28.7288,27.8586,27.8961,19.0121,1516947
2015-06-22,27.9145,28.0438,27.6648,27.7386,18.9048,1203906
2015-06-23,27.8308,28.1644,27.6366,27.8961,19.0121,1533562
2015-06-24,28.127,28.9877,28.127,28.7379,19.5858,1839205
2015-06-25,28.6812,28.8761,28.0438,28.0624,19.1255,1282667
2015-06-26,28.0624,28.3585,27.8867,28.2659,19.2642,2901435
